edge degrees:
id	degree	max	normal
1340	9	26	0.69
1341	11	47	0.47
1342	14	397	0.07
1343	12	139	0.17
1344	11	28	0.79
1345	20	56	0.71
1346	15	32	0.94
1347	10	46	0.43
1348	17	400	0.08
1349	12	139	0.17
1350	17	144	0.24
1351	22	187	0.24
1352	2	4	1
1353	2	4	1
1354	2	4	1
1355	1	3	0.67
1356	4	387	0.02
1357	3	55	0.11
1358	3	20	0.3
1359	3	119	0.05
1360	10	27	0.74
1361	13	129	0.2
1362	2	4	1
1363	10	175	0.11
1364	2	4	1
1365	2	4	1
1366	0	20	0
1367	8	32	0.5
1368	8	32	0.5
1369	8	173	0.09
1370	20	623	0.06
1371	8	32	0.5
1372	20	44	0.91
1373	0	3	0
1374	5	11	0.91
1375	5	173	0.06
1376	5	608	0.02
1377	5	173	0.06
1378	4	169	0.05
1379	2	605	0.01
1380	2	12	0.33
1381	2	167	0.02
1382	8	18	0.89
1383	5	170	0.06
1384	10	20	1
1385	3	9	0.67
1386	5	15	0.67
1387	2	8	0.5
1388	1	13	0.15
1389	1	384	0.01
1390	7	16	0.88
1391	11	25	0.88
1392	8	611	0.03
1393	5	19	0.53
1394	7	149	0.09
1395	11	153	0.14
1396	5	10	1
1397	7	390	0.04
1398	5	10	1
1399	5	388	0.03
1400	4	8	1
1401	4	9	0.89
1402	3	7	0.86
1403	3	8	0.75
1404	3	8	0.75
1405	5	22	0.45
